Date of Notice|Business Type|region|company|Number Affected|Layoff Date|Reason for Dislocation|Classification
4/7/2020|Pool Manufacturer|Long Island Region|Swimline Corporation dba Swimline|139|4/3/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Country Club|Long Island Region|Piping Rock Club|68|4/13/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Building Materials Supplier|Mid-Hudson Region|Tilcon NY Inc.|9|4/3/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Building Materials Supplier|Mid-Hudson Region|Tilcon NY Inc.|9|4/3/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/7/2020|Hotel|New York City Region|The Kimberly Hotel|83|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Obstetrics and Gynecology|New York City Region|The Woman's Health Pavilion|-----|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Obstetrics and Gynecology|Long Island Region|The Woman's Health Pavilion (2 Locations)|-----|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Obstetrics and Gynecology|Long Island Region|The Woman's Health Pavilion (2 Locations)|-----|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Heating and Cooling|Capital Region|Eastern Heating & Cooling, Inc.||4/1/2020, or the 14-day period commencing on that date.|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|Mid-Hudson Region|Juniper Nyack Employment LLC, The Time Nyack|68|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/26/2020|Restaurant|New York City Region|Lazar Edible's LLC|45|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/24/2020|Gym|Long Island Region|U Gym, LLC dba UFC Gym Club|155|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/7/2020|Orthopedics|Capital Region|OrthopedicsNY, LLC|157 (from all sites)|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Retail|New York City Region|Guess?, Inc.|-----|4/2/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Retail|Mid-Hudson Region|Guess?, Inc.|-----|4/2/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Retail|Western Region|Guess?, Inc.|-----|4/2/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Retail|Capital Region|Guess?, Inc.|-----|4/2/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Retail|Finger Lakes Region|Guess?, Inc.|-----|4/2/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Restaurant|New York City Region|Apple- Metro, Inc. Bed-Stuy Apple, LLC|36|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Restaurant|New York City Region|Bacon & Bagels, LLC dba Quality Eats|47|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|New York City Region|Daily Provisions LLC, dba Daily Provisions|41|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Restaurant|New York City Region|545 West 30th Street F & B Management, LLC dba Cedric's at the Shed|34|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Restaurant|New York City Region|375 Amsterdam Avenue, LLC dba Daily Provisions|49|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Restaurant|New York City Region|Peanut Butter & Kimchee, LLC dba Quality Eats|70|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|New York City Region|Off Cuts, LLC dba Quality Eats|39|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|New York City Region|French Onion Soup LLC, dba Quality Eats|144|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/20/2020|Hotel|New York City Region|Pineapple Hospitality Company dba Staypineapple New York|21|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Restaurant|New York City Region|Cup of Nachos LLC dba OXOMOCO|52|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/3/2020|Network Provider|New York City Region|Intent Global, Inc. dba Intent|43|4/6/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/1/2020|Bakery|New York City Region|Pain D'Avignon III LTD dba Pain DAvignon Bakery|-----|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Retail|New York City Region|Talbots|114|4/5/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Restaurant|New York City Region|'21' Club|142|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Airport Restaurant|New York City Region|OTG Management, LLC|54|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Bus Transit|New York City Region|Consolidated Bus Transit (CBT) Para Transit, Inc.|239|Separations will occur from April 4, 2020 through April 10, 2020.|Loss of Contract with New York Transit Authority|Plant Layoff
3/30/2020|Restaurant|New York City Region|63 W. 38th Street LLC|111|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/2/2020|Restaurant|Long Island Region|Benihana New York Corp. Dba Benihana Manhasset|43|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Clothing Manufacturer|New York City Region|RDG Global, LLC|28|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|New York City Region|Asia Five Eight LLC dba TAO Uptown|196|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Excavating Contractor|New York City Region|SBG Construction Corp.|29|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Excavating Contractor|New York City Region|Mayrich Equipment Corp.|19|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Excavating Contractor|New York City Region|Mayrich Construction Corp.|16|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/19/2020|Plastic Manufacturing|New York City Region|Gary Plastic Packaging Co./Viele Manufacturing Corp.|300|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Footwear Retailer|New York City Region|1661, Inc. dba GOAT and Flight Club New York, LLC|79|4/1/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant  Layoff
3/26/2020|Hotel|New York City Region|KHRG 851 LLC and KHRG Employer LLC, dba Hotel Eventi|136|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Bedding, Bath, and window Manufacturing|New York City Region|CHF Industries, Inc.|34|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Restaurant|Mid-Hudson Region|Texas Roadhouse|84|3/24/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/1/2020|Restaurant|Mid-Hudson Region|Ruth's Chris Steak House|58|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/6/2020|Supply Chain Management|Mid-Hudson Region|The Martin-Brower Company, LLC|116|4/7/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Restaurant|Mid-Hudson Region|Havana Central NY4, LLC|65|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Restaurant|New York City Region|Havana Central NY2, LLC and The Merrin Group|112|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Restaurant|Long Island Region|Havana Central NY5, LLC|108|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020 and 4/6/2020|Mechanical Systems Building|Central Region|Comfort Systems USA, Inc.|119|3/13/2020 and 4/3/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Insulation Contractor|Southern Region|Southern Tier Insulations|35|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Furniture|Western Region|Fancher Chair Company, Inc.|86|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Collision Repair|Western Region|Gerber Collision and Glass|19|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Movie Theatre|Finger Lakes Region|Cinemark USA, Inc.|82|3/26/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/1/2020|Community Center|Capital Region|Robert and Dorothy Ludwig Schenectady Jewish Community Center|159|3/29/2020|Economic|Temporary Plant Layoff
3/26/2020|Linen and Uniforms|Mohawk Valley Region|Century Linen|103|3/26/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Restaurant|Long Island Region|Zin Management Services, LLC|73|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Closing
3/26/2020|Restaurant|Mid-Hudson Region|Zin Management Services, LLC|70|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Closing
3/26/2020|Restaurant|Finger Lakes Region|GCwNY Rochester Inc. dba Golden Corral|50|3/26/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Architectural Metal and Glass Manufacturing|New York City Region|Empire Architectural Metal, Corp.|125|4/1/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Contracting|Long Island Region|Venia Contracting, LLC|84|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Heating and Cooling|Capital Region|Eastern Heating & Cooling, Inc.|54|4/1/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Contracting Company|North Country Region|Con Tech Building Systems, Inc.|52|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/1/2020|Auto Dealership|Long Island Region|NS Auto Sales Inc., dba North Shore Honda|36|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Duck Farm|Long Island Region|Crescent Duck Farm, Inc.|46|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/23/2020|Cosmetic Manufacturer|New York City Region|Intercos America, Inc.|-----|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/1/2020|Digital Marketing|New York City Region|Capacity Interactive Consulting LLC|50|4/4/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/1/2020|Hotel|New York City Region|EVEN Hotel Brooklyn|47|4/6/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Retail|New York City Region|Maggy London International, Ltd.|41|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/24/2020|Restaurant|New York City Region|Hooters on 33rd Street|86|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Musical Instrument Rental|New York City Region|Studio Instrument Rentals Inc.|53|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Restaurant|New York City Region|West Houston Hall, Inc.|49|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/16/2020|Restaurant|New York City Region|Great Jones Restaurant Corp. dba Vic's|82|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Restaurant|New York City Region|444 PAS Restaurant Associates LLC|84|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Restaurant|New York City Region|Guapo Bodega LLC, dba Beauty & Essex NY|159|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Attorney|New York City Region|Davidoff Hutcher & Citron LLP|34|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Restaurant|New York City Region|RF Broadway LLC dba RedFarm|67|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Sheet Metal Contractor|New York City Region|Cool Wind Ventilation Corp.|58|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Restaurant|New York City Region|Haru Wall Street Corp. dba Haru Wall Street|31|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Restaurant|New York City Region|Haru Amsterdam Avenue Corp. dba Haru Amsterdam|29|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Restaurant|New York City Region|Haru Hell's Kitchen Corp. dba Haru Hell's Kitchen|26|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Restaurant|New York City Region|Haru Broadway-Times Square Corp. dba Haru Times Square|57|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Hotel|New York City Region|Hotel Plaza Athne|140|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/21/2020|Restaurant|New York City Region|Carroll Group NYC LLC, dba Fette Sau|21|3/21/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/21/2020|Restaurant|New York City Region|Carroll Group NYC LLC, dba Spuyten Duyvil|12|3/21/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/21/2020|Restaurant|New York City Region|Carroll Group NYC LLC, dba Saint Anselm|29|3/21/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Golf Course|New York City Region|Trump Ferry Point, LLC dba Trump Golf Links at Ferry Point|49|3/21/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|New York City Region|Bowery Hospitality Services LLC, dba Vandal|124|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Restaurant|New York City Region|OTG Management LLC|259|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/1/2020|Restaurant|New York City Region|Ninth Avenue Hospitality LLC dba Bodega Negra Electric Room and PHD|258|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/29/2020|Event Planning|Long Island Region|McVeigh Global Meeting and Events, LLC|53|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Electronic Instrument Manufacturer|Long Island Region|AMETEK Hughes-Treitler|170|4/6/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Restaurant|Long Island Region|Benihana Westbury Corp.|51|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/3/2020|Animal Feed Store|Long Island Region|Eastport Feeds, Inc.|3|4/6/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|New York City Region|Ben's Restaurant Group, Inc.|92|3/27/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Neurology Health Care Provider|Long Island Region|Neurological Specialties of Long Island, PLLC and Addan Equipment LLC|43|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Hotel|Western Region|Millennium Hotel Buffalo|104|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Restaurant|Western Region|Sear 200 LLC, dba Sear Steakhouse|73|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Hotel|Western Region|Scott's Buffalo Suites LLC (Hawthorn Suites)|24|3/25/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/24/2020|Collection Agency|Western Region|Capital Management Services, LP|52|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/17/2020|Hotel|Capital Region|Exceeding Expectations dba Longfellow's Hotel and Restaurant|105|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Youth Club|Capital Region|Boys and Girls Clubs of the Capital Area Inc.|154|3/13/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Restaurant|Johnson City - Southern Region|New York Friendly's Restaurant|43|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/2/2020|Restaurant|Liverpool - Central Region|New York Friendly's Restaurant|37|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/2/2020|Restaurant|Olean - Western Region|New York Friendly's Restaurant|35|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/3/2020|Restaurant|Troy - Capital Region|New York Friendly's Restaurant|35|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/3/2020|Restaurant|Queensbury - Capital Region|New York Friendly's Restaurant|39|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/3/2020|Restaurant|Clifton Park - Capital Region|New York Friendly's Restaurant|34|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/2/2020|Restaurant|Johnstown - Mohawk Valley Region|New York Friendly's Restaurant|20|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Wholesale Bakery|Mohawk Valley Region|DeIorio Foods, Inc.|64|3/29/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Beauty Salon Equipment|New York City Region|P.S. Pibbs, Inc.|87|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Restaurant|New York City Region|Punch the Pickle, LLC dba Lucky Pickle Dumpling Co.|6|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/16/2020|Restaurant|New York City Region|Shinko Foods, Inc., dba Shabu-Tatsu Restaurant|-----|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Restaurant|New York City Region|Union Sq 4th F&B Management LLC, dba BOWERY ROAD and LIBRARY OF DISTILLED SPIRITS|49|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Auto Dealer|Long Island Region|Mercedes-Benz of Rockville Center|40|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/1/2020|Restaurant|New York City Region|11th Street Hospitality LLC, dba Cathedrale, Alphabet Bar and Little Sister|218|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Restaurant|New York City Region|Union Square Caf II, LLC dba Union Square Caf|139|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Restaurant|New York City Region|Baked Ziti, LLC|142|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|New York City Region|United Chicken Fingers, LLC|123|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|New York City Region|New York RGI Sub, LLC (East 50th Street)|91|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|New York City Region|The Manhattan Ocean Club Associates, LLC|120|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|New York City Region|St. James Associates, L.P.|177|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/24/2020|Restaurant|New York City Region|Perry Street Project LLC, dba Perry St.|39|3/15/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Movie Theatre|New York City Region|New York Cinema Investments LLC dba Cinepolis|37|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|New York City Region|Blue Smoke, LLC dba Blue Smoke|104|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Restaurant|New York City Region|Whit Food II LLC|47|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/1/2020|Law Firm|New York City Region|Pryor Cashman LLP|53|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/1/2020|Restaurant|New York City Region|Chelsea Hospitality Associates LLC dba Feroce Bar Feroce and Fleur Room "Moxy Chelsea F&B"|173|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/1/2020|Restaurant|New York City Region|Seventh Hospitality LLC dba Legasea Magic Hour and Bar Moxy "Moxy TS F&B"|212|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Plumbing and Heating|New York City Region|Fred Smith Plumbing & Heating|74|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/31/2020|Restaurant|New York City Region|Peter Luger, Inc.|34|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Hotel|New York City Region|The Manhattan Club Timeshare Association Inc.|104|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/2/2020|Restaurant|New York City Region|HLD 46th LLC dba Sushi of Gari 46|30|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/1/2020|Restaurant|New York City Region|Eataly NY FIDI, LLC|260|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/1/2020|Restaurant|New York City Region|Eataly NY, LLC|314|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/23/2020|Restaurant|New York City Region|Feinstein's/54 Below|72|3/13/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/3/2020|Tree service|Long Island Region|Asplundh Tree Expert LLC|49|4/1/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/1/2020|Restaurant|Long Island Region|Ruth's Chris Steak House|65|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/26/2020|Auto Sales|Long Island Region|Karp Automotive, Inc.|75|-----|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/24/2020|Restaurant|New York City Region|130 West 3rd Caf, Inc. dba The Fat Black Pussycat|40|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Hotel|New York City Region|Standard High Line Employer, LLC "Hotel F&B"|415|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Production Company|New York City Region|Araca Merchandise L.P.|107|3/12/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/1/2020|Security System Installation|New York City Region|DGA Security Systems, Inc.|32|3/23/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
4/1/2020|Restaurant|New York City Region|Ruth's Chris Steak House|73|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/24/2020|Closets and Storage|Manhattan Showroom - New York City Region|Transform|-----|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/24/2020|Closets and Storage|Mid-Hudson Region
|Transform (Headquarters, Manufacturing Facility, and Westchester Showroom)|-----|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Transportation|Western Region|Greyhound Lines, Inc.|19|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
3/25/2020|Restaurant|Mid-Hudson Region|Cortland Apple, LLC|61|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Restaurant|Mid-Hudson Region|Hawthorne Apple, LLC|27|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
1/31/2020|Dental equipment distribution and manufacturing|Long Island Region|Crosstex International, Inc. (Cantel) Phase 4|9||Restructuring which will involve the relocation of certain operations from Crosstex’s Long Island location to Rush, NY.|Plant Layoff
3/25/2020|Restaurant|Mid-Hudson Region|Crossroads Apple, LLC|38|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/26/2020|Restaurant|Mid-Hudson Region|Apple-Metro, Inc.|61|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Restaurant|Mid-Hudson Region|EB Apple, LLC|33|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/25/2020|Restaurant|Mid-Hudson Region|Cross County Apple, LLC|48|3/17/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/28/2020|Restaurant|New York City Region|Rivka Inc.|37|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/28/2020|Restaurant|New York City Region|Caf Mogador LLC|43|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/16/2020|Global tech media company|New York City Region|Future Media Group|||Economic and unforeseen business circumstances as a result of COVID-19|Possible Plant Layoff/Closing
4/2/2020|Parking Service/Locations|New York City Region|Icon Parking Holdings LLC  (227 Locations in NYC)|883|3/14/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/23/2020|Commercial Cleaning|New York City Region|Elite Services Group, LLC|137|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/30/2020|Restaurant|New York City Region|In Good Co Park Ave Inc.|60|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Restaurant|New York City Region|38 W. 36th Street LLC|53|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Restaurant|New York City Region|Refinery Lobby Bar LLC|27|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/30/2020|Restaurant|New York City Region|PRYM 1216 Street Level LLC|41|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Restaurant|New York City Region|Porchlight West Chelsea, LLC dba Porchlight|34|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Restaurant|New York City Region|331 PAS F&B Management, LLC dba LoBall|16|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Restaurant|New York City Region|GT Operating Company LLC dba Gramercy Tavern|189|3/18/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/27/2020|Restaurant|New York City Region|China Grill Management 12 E 22 LLC dba Almond|69|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/27/2020|Lumber and Building Material Distribution|New York City Region|LeNoble Lumber Co., Inc.|99|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/31/2020|Architecture Firm|New York City Region|Howard Zimmerman Architects, P.C.|42|4/1/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
