Date of Notice|Business Type|region|company|Number Affected|Layoff Date|Reason for Dislocation|Classification
4/17/2020|Restaurant|New York City Region|MBRP Restaurant Inc.|89|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|Mirabi Inc. dba Down The Hatch|19|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|442 Amsterdam Ave. Rest. Corp. dba The Gin Mill|32|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|Third Ave. Restaurant Inc. dba Jake's Dilemma|26|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|Macdougal Restaurant dba Off The Wagon|25|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|149 Second Ave. Rest., Inc. dba The 13th Step|33|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|134 West 3rd Street Rest, Inc. dba 3 Sheets Saloon|34|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/17/2020|Restaurant|New York City Region|168 Orchard Street Partners Inc. dba Hair of the Dog|18|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/17/2020|Hotel|New York City Region|The Roger Smith Hotel|29|3/24/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/16/2020|Airline Services|New York City Region|Cathay Pacific Airways Ltd.|67|6/19/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
4/16/2020|Airport Services|New York City Region|Cathay Pacific Airways Ltd.|1|7/3/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
4/16/2020|Airline Services|New York City Region|Cathay Pacific Airways Ltd.|1|6/19/2020|Unforeseeable business circumstances prompted by COVID-19|Plant Layoff
3/23/2020|Cosmetic Manufacturer|New York City Region|Intercos America, Inc.||3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/18/2020|Catering|New York City Region|Apogee Events|-----|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
3/18/2020|Catering|Long Island Region|Lovin Oven Catering of Suffolk LLC|13|3/22/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Closing
4/20/2020|Transportation|Western Region|American Steamship Company|185|4/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/8/2020|Environmental Consulting|Long Island Region|JC Broderick & Associates, Inc.|41|3/31/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/24/2020|Diagnostic Imaging Center|New York City Region|Mid Rockland Imaging Partners, Inc.|545|Furloughs began on 3/24/2020 and are expected to last through 4/30/2020.|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/20/2020|Airline Services|New York City Region|Allied Aviation Service Company of New York, Inc.|17|4/1/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/24/2020|Diagnostic Imaging Center|Mid-Hudson Region|Mid Rockland Imaging Partners, Inc.|85|Furloughs began on 3/24/2020 and are expected to last through 4/30/2020.|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/24/2020|Diagnostic Imaging Center|Long Island Region|Mid Rockland Imaging Partners, Inc.|90|Furloughs began on 3/24/2020 and are expected to last through 4/30/2020.|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/16/2020|Medical Laboratory|Mid-Hudson Region|CBLPath, Inc.|60|4/14/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|1650 Broadway Associates, Inc.|280|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|Wolf Gotham LLC dba Wolfgang's Steakhouse|24|3/16/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|Wolf at Tribeca, Inc. dba Wolfgang's Steakhouse|63|3/20/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/17/2020|Restaurant|New York City Region|ZMF Restaurants LLC dba Wolfgang's Steakhouse|57|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/18/2020|Building Services|New York City Region|1345 Leasehold LLC|9|3/28/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/18/2020|Building Services|New York City Region|Plaza Cleaning Service Company II LP|20|3/19/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/18/2020|Building Services|New York City Region|Park Avenue Plaza Owner, LLC|14|3/28/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
3/25/2020|Electric Company|New York City Region|Forest Electric Corp.|||Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/18/2020|Building Services|New York City Region|Fisher Park Lane Owner LLC|5|3/30/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/18/2020|Building Services|New York City Region|Fisher Brothers Financial & Development Co.|2|4/3/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/18/2020|Building Services|New York City Region|1345 Cleaning Service Company II LP|35|4/1/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
4/18/2020|Building Services|New York City Region|605 Third Avenue Fee LLC|2|4/3/2020|Unforeseeable business circumstances prompted by COVID-19|Temporary Plant Layoff
